order_details_id,order_id,pizza_id,quantity
218,83,p_27,2
219,84,p_12,2
220,84,p_19,3
221,84,p_2,2
222,85,p_7,1
223,85,p_39,3
224,86,p_39,3
225,86,p_5,1
226,86,p_37,1
227,86,p_39,1
228,87,p_10,3
229,87,p_7,2
230,88,p_38,3
231,88,p_39,2
232,88,p_27,1
233,88,p_23,3
234,89,p_17,2
235,89,p_29,3
236,90,p_32,1
237,90,p_8,2
238,90,p_27,3
239,91,p_27,3
240,91,p_14,2
241,91,p_39,3
242,92,p_17,3
243,92,p_34,3
244,92,p_13,2
245,92,p_25,2
246,93,p_40,2
247,94,p_29,3
248,94,p_31,1
249,94,p_25,2
250,95,p_9,3
251,95,p_20,3
252,95,p_29,3
253,96,p_16,3
254,97,p_2,2
255,97,p_21,3
256,97,p_32,3
257,97,p_1,3
258,98,p_40,3
259,98,p_19,1
260,99,p_6,1
261,99,p_7,3
262,99,p_23,3
263,99,p_38,3
264,100,p_18,1
265,100,p_29,3
266,100,p_14,1
267,100,p_40,1
268,101,p_9,1
269,102,p_33,2
270,103,p_17,2
271,103,p_4,1
272,103,p_4,2
273,104,p_24,2
274,104,p_20,3
275,105,p_22,3
276,105,p_9,3
277,105,p_18,1
278,105,p_33,3
279,106,p_17,3
280,106,p_1,1
281,107,p_37,3
282,107,p_2,2
283,107,p_9,3
284,108,p_30,2
285,108,p_10,1
286,108,p_14,2
287,108,p_29,3
288,109,p_17,3
289,109,p_10,2
290,109,p_36,3
291,110,p_6,3
292,110,p_2,2
293,110,p_5,1
294,111,p_24,2
295,111,p_15,3
296,112,p_30,1
297,112,p_19,2
298,112,p_15,2
299,113,p_39,3
300,113,p_4,3
301,114,p_22,2
302,114,p_31,2
303,114,p_22,2
304,114,p_32,3
305,115,p_19,2
306,115,p_16,1
307,115,p_19,3
308,116,p_5,2
309,116,p_18,2
310,116,p_38,1
311,116,p_24,2
312,117,p_13,2
313,118,p_21,2
314,119,p_12,3
315,119,p_30,2
316,119,p_2,3
317,119,p_5,2
318,120,p_9,1
319,120,p_10,3
320,121,p_40,3
321,121,p_36,3
322,121,p_34,2
323,122,p_29,1
324,122,p_33,3
325,123,p_23,1
326,123,p_20,1
327,124,p_17,3
328,124,p_38,1
329,125,p_40,1
330,126,p_12,2
331,126,p_22,3
332,126,p_35,2
333,126,p_27,1
334,127,p_3,1
335,127,p_12,3
336,128,p_4,2
337,128,p_26,3
338,129,p_31,2
339,129,p_31,3
340,129,p_37,1
341,129,p_20,2
342,130,p_39,2
343,130,p_39,3
344,130,p_18,1
345,131,p_33,3
346,132,p_40,3
347,132,p_15,3
348,133,p_19,1
349,134,p_37,1
350,134,p_39,1
351,134,p_2,2
352,134,p_26,2
353,135,p_37,3
354,135,p_39,2
355,136,p_36,1
356,137,p_17,3
357,137,p_36,3
358,137,p_30,1
359,138,p_12,2
360,138,p_13,2
361,138,p_36,3
362,139,p_10,1
363,139,p_30,3
364,139,p_32,2
365,139,p_32,2
366,140,p_24,1
367,140,p_32,2
368,141,p_16,3
369,141,p_24,2
370,142,p_36,3
371,142,p_5,1
372,142,p_29,1
373,143,p_21,2
374,143,p_39,3
375,143,p_33,3
376,144,p_28,1
377,144,p_20,3
378,145,p_24,2
379,145,p_40,3
380,145,p_35,2
381,145,p_14,1
382,146,p_8,3
383,146,p_9,1
384,146,p_13,1
385,146,p_27,1
386,147,p_12,2
387,147,p_20,1
388,147,p_35,1
389,147,p_30,2
390,148,p_39,1
391,148,p_39,2
392,148,p_18,2
393,148,p_37,2
394,149,p_25,3
395,149,p_30,3
396,149,p_29,3
397,150,p_7,2
398,151,p_5,3
399,151,p_26,1
400,151,p_1,1
401,152,p_14,2
402,153,p_2,1
403,153,p_33,2
404,153,p_33,3
405,154,p_1,3
406,154,p_10,1
407,154,p_13,3
408,155,p_28,2
409,155,p_28,3
410,155,p_20,1
411,156,p_36,1
412,156,p_23,2
413,157,p_10,2
414,157,p_20,3
415,158,p_38,2
416,158,p_4,3
417,158,p_3,3
418,159,p_6,3
419,159,p_18,3
420,159,p_15,1
421,159,p_11,1
422,160,p_17,3
423,161,p_23,3
424,161,p_19,3
425,161,p_22,2
426,161,p_33,1
427,162,p_16,1
428,163,p_13,3
429,163,p_40,3
430,164,p_2,1
431,164,p_28,2
432,165,p_30,1
433,165,p_29,3
434,165,p_40,1
435,165,p_11,3
436,166,p_22,1
437,166,p_26,3
438,166,p_36,2
439,166,p_21,1
440,167,p_35,1
441,167,p_30,3
442,167,p_5,2
443,167,p_5,2
444,168,p_33,3
445,169,p_22,3
446,169,p_15,2
447,169,p_24,3
448,169,p_33,1
449,170,p_8,2
450,170,p_21,1
451,170,p_18,3
452,170,p_18,1
453,171,p_33,1
454,172,p_35,2
455,172,p_34,3
456,172,p_14,1
457,172,p_20,3
458,173,p_29,1
459,174,p_40,1
460,174,p_38,2
461,174,p_5,2
462,174,p_28,1
463,175,p_1,3
464,175,p_1,3
465,176,p_37,2
466,176,p_3,2
467,176,p_30,2
468,176,p_14,2
469,177,p_2,1
470,177,p_33,3
471,177,p_29,3
472,177,p_29,3
473,178,p_24,3
474,178,p_32,2
475,179,p_6,1
476,180,p_6,3
477,180,p_5,1
478,180,p_31,3
479,180,p_17,1
480,181,p_32,1
481,182,p_32,2
482,182,p_30,3
483,182,p_9,3
484,183,p_5,3
485,183,p_34,2
486,183,p_24,1
487,183,p_23,1
488,184,p_21,2
489,184,p_17,1
490,184,p_2,2
491,184,p_23,1
492,185,p_4,1
493,186,p_1,3
494,186,p_4,1
495,186,p_17,1
496,186,p_7,1
497,187,p_1,1
498,188,p_22,2
499,189,p_16,1
500,190,p_15,2
501,191,p_23,1
502,191,p_32,3
503,191,p_38,1
504,191,p_5,1
505,192,p_16,3
506,192,p_39,2
507,193,p_9,3
508,193,p_6,3
509,194,p_2,3
510,194,p_25,3
511,194,p_6,3
512,195,p_33,1
513,195,p_25,2
514,195,p_16,1
515,196,p_36,2
516,196,p_10,2
517,197,p_31,1
518,197,p_21,3
519,197,p_31,3
520,198,p_1,3
521,198,p_35,3
522,199,p_17,3
523,199,p_1,2
524,199,p_5,1
525,199,p_12,2
526,200,p_6,3
527,200,p_14,2
528,200,p_21,3
529,200,p_1,2
530,201,p_32,1
531,201,p_7,2
532,201,p_3,2
533,201,p_8,1
534,202,p_19,1
535,202,p_20,1
536,202,p_40,2
537,202,p_32,3
538,203,p_32,2
539,203,p_36,1
540,204,p_4,2
541,204,p_28,3
542,204,p_23,3
543,204,p_13,1
544,205,p_37,1
545,205,p_9,2
546,205,p_8,1
547,205,p_15,2
548,206,p_25,2
549,207,p_35,1
550,207,p_35,3
551,207,p_25,3
552,208,p_31,1
553,208,p_18,2
554,209,p_1,3
555,209,p_9,3
556,209,p_38,3
557,209,p_33,1
558,210,p_2,1
559,211,p_29,2
560,211,p_32,1
561,212,p_21,2
562,212,p_29,1
563,212,p_10,1
564,213,p_30,3
565,213,p_12,1
566,214,p_37,1
567,214,p_36,3
568,214,p_20,3
569,214,p_31,3
570,215,p_25,2
571,215,p_2,1
572,216,p_23,2
573,216,p_1,2
574,216,p_1,2
575,217,p_40,2
576,217,p_39,2
577,217,p_30,2
578,218,p_37,2
579,218,p_22,1
580,218,p_9,3
581,218,p_3,2
582,219,p_3,1
583,219,p_35,2
584,219,p_40,2
585,220,p_26,1
586,220,p_27,3
587,220,p_21,1
588,220,p_10,3
589,221,p_23,1
590,221,p_8,2
591,222,p_17,2
592,222,p_2,1
593,222,p_8,1
594,222,p_40,2
595,223,p_10,2
596,223,p_17,3
597,224,p_12,2
598,224,p_38,3
599,225,p_12,2
600,225,p_25,2
601,225,p_22,3
602,226,p_20,2
603,226,p_22,1
604,226,p_1,3
605,226,p_23,2
606,227,p_15,1
607,227,p_37,3
608,228,p_1,1
609,228,p_21,3
610,228,p_11,3
611,228,p_1,1
612,229,p_27,1
613,230,p_7,1
614,231,p_11,1
615,231,p_19,3
616,231,p_38,1
617,231,p_2,1
618,232,p_20,1
619,232,p_18,1
620,233,p_7,2
621,233,p_19,1
622,233,p_16,3
623,233,p_34,3
624,234,p_20,3
625,234,p_33,2
626,234,p_32,1
627,234,p_21,1
628,235,p_24,1
629,235,p_15,1
630,235,p_7,3
631,235,p_37,3
632,236,p_7,3
633,236,p_1,2
634,236,p_15,1
635,237,p_23,1
636,237,p_24,1
637,237,p_40,1
638,237,p_23,3
639,238,p_12,1
640,238,p_33,1
641,239,p_37,2
642,239,p_7,2
643,239,p_7,2
644,240,p_38,2
645,241,p_20,2
646,241,p_31,3
647,241,p_19,1
648,241,p_11,3
649,242,p_9,2
650,242,p_4,3
651,243,p_40,3
652,244,p_29,1
653,245,p_26,2
654,245,p_37,2
655,245,p_13,3
656,245,p_28,2
657,246,p_30,3
658,247,p_34,3
659,248,p_37,1
660,248,p_37,2
661,249,p_1,3
662,249,p_30,2
663,249,p_6,3
664,249,p_18,1
665,250,p_10,1
666,251,p_4,3
667,251,p_22,3
668,252,p_20,2
669,252,p_30,1
670,252,p_14,1
671,252,p_17,3
672,253,p_36,3
673,253,p_24,3
674,253,p_5,3
675,254,p_3,1
676,255,p_5,1
677,255,p_33,1
678,255,p_6,3
679,256,p_13,3
680,256,p_19,2
681,257,p_9,2
682,258,p_32,3
683,258,p_29,1
684,259,p_10,3
685,259,p_36,3
686,259,p_8,2
687,259,p_24,2
688,260,p_5,3
689,260,p_8,3
690,261,p_27,3
691,262,p_5,1
692,262,p_26,1
693,262,p_5,2
694,263,p_40,1
695,263,p_30,2
696,264,p_31,2
697,264,p_32,1
698,264,p_10,3
699,264,p_35,2
700,265,p_25,2
701,265,p_13,1
702,265,p_38,2
703,265,p_25,3
704,266,p_3,2
705,266,p_16,1
706,266,p_33,3
707,266,p_29,3
708,267,p_32,1
709,267,p_19,3
710,267,p_32,2
711,267,p_22,1
712,268,p_13,1
713,269,p_26,1
714,269,p_39,2
715,269,p_37,3
716,270,p_19,3
717,270,p_14,2
718,271,p_13,2
719,271,p_34,1
720,271,p_32,1
721,272,p_21,2
722,273,p_40,2
723,273,p_4,2
724,273,p_21,1
725,273,p_1,1
726,274,p_25,1
727,275,p_30,2
728,275,p_11,3
729,275,p_6,3
730,275,p_14,3
731,276,p_4,1
732,276,p_35,1
733,276,p_28,1
734,276,p_29,2
735,277,p_4,3
736,278,p_19,2
737,278,p_11,1
738,278,p_11,2
739,279,p_37,2
740,279,p_9,1
741,279,p_1,3
742,279,p_7,3
743,280,p_18,3
744,280,p_5,3
745,281,p_30,3
746,281,p_26,2
747,282,p_16,1
748,282,p_33,2
749,283,p_13,2
750,283,p_6,2
751,283,p_14,1
752,284,p_19,1
753,285,p_13,2
754,285,p_10,2
755,285,p_32,2
756,285,p_34,2
757,286,p_27,2
758,287,p_33,1
759,287,p_11,3
760,287,p_8,3
761,288,p_5,3
762,288,p_11,3
763,288,p_15,1
764,288,p_4,2
765,289,p_25,1
766,290,p_25,1
767,290,p_40,2
768,290,p_8,2
769,291,p_12,2
770,291,p_12,2
771,291,p_23,2
772,291,p_1,2
773,292,p_3,2
774,292,p_8,2
775,293,p_23,2
776,293,p_39,2
777,294,p_16,2
778,294,p_23,2
779,295,p_15,3
780,295,p_40,3
781,295,p_12,3
782,296,p_27,3
783,296,p_38,1
784,296,p_31,2
785,296,p_9,2
786,297,p_40,2
787,297,p_22,2
788,297,p_19,1
789,298,p_31,3
790,298,p_26,3
791,299,p_37,3
792,299,p_26,3
793,300,p_9,3
794,301,p_12,3
795,301,p_15,1
796,301,p_11,2
797,301,p_34,2
798,302,p_37,2
799,303,p_37,1
800,303,p_24,3
801,303,p_19,2
802,303,p_1,1
803,304,p_38,3
804,304,p_24,1
805,304,p_3,3
806,305,p_40,2
807,305,p_3,1
808,305,p_20,2
809,305,p_17,3
810,306,p_26,3
811,306,p_34,2
812,306,p_3,3
813,306,p_28,3
814,307,p_16,3
815,307,p_22,1
816,307,p_33,2
817,307,p_38,3
818,308,p_2,1
819,309,p_9,3
820,309,p_24,3
821,310,p_38,1
822,310,p_39,3
823,310,p_31,3
824,311,p_6,3
825,312,p_2,2
826,312,p_38,2
827,312,p_8,1
828,312,p_29,1
829,313,p_30,2
830,314,p_1,3
831,314,p_16,3
832,315,p_17,2
833,315,p_1,2
834,316,p_33,2
835,316,p_19,3
836,316,p_1,3
837,316,p_23,3
838,317,p_26,2
839,317,p_31,1
840,318,p_34,1
841,318,p_38,2
842,318,p_34,2
843,318,p_23,1
844,319,p_5,3
845,320,p_39,2
846,320,p_39,2
847,321,p_23,2
848,321,p_29,1
849,321,p_23,3
850,322,p_33,2
851,322,p_1,2
852,322,p_26,1
853,322,p_3,2
854,323,p_25,2
855,323,p_29,1
856,323,p_8,2
857,323,p_13,1
858,324,p_38,1
859,325,p_39,3
860,325,p_14,1
861,325,p_13,3
862,326,p_12,3
863,326,p_11,1
864,327,p_39,3
865,327,p_3,1
866,328,p_33,3
867,328,p_35,2
868,328,p_11,2
869,329,p_26,2
870,329,p_22,3
871,330,p_18,1
872,330,p_31,3
873,331,p_3,2
874,331,p_24,1
875,331,p_18,3
876,331,p_20,3
877,332,p_27,2
878,332,p_19,3
879,333,p_31,2
880,333,p_40,1
881,333,p_33,3
882,333,p_15,1
883,334,p_37,2
884,334,p_40,3
885,335,p_27,3
886,336,p_7,3
887,337,p_33,2
888,337,p_23,2
889,338,p_10,2
890,338,p_39,1
891,339,p_13,3
892,339,p_39,2
893,339,p_6,3
894,340,p_40,3
895,340,p_26,2
896,340,p_36,3
897,341,p_8,3
898,341,p_13,1
899,341,p_8,2
900,341,p_25,2
901,342,p_33,3
902,342,p_30,1
903,342,p_37,3
904,342,p_38,3
905,343,p_38,3
906,343,p_1,3
907,343,p_38,1
908,344,p_31,2
909,344,p_29,1
910,345,p_17,2
911,345,p_19,1
912,346,p_11,2
913,346,p_35,3
914,347,p_15,3
915,347,p_25,2
916,348,p_37,3
917,348,p_40,1
918,348,p_17,3
919,348,p_21,2
920,349,p_38,1
921,349,p_18,2
922,349,p_22,3
923,349,p_31,3
924,350,p_25,3
925,350,p_21,1
926,351,p_34,2
927,351,p_8,1
928,351,p_36,1
929,351,p_36,2
930,352,p_17,3
931,352,p_3,1
932,352,p_17,2
933,352,p_34,1
934,353,p_1,1
935,353,p_19,1
936,353,p_38,2
937,353,p_4,3
938,354,p_9,2
939,354,p_13,3
940,354,p_11,2
941,354,p_7,2
942,355,p_27,2
943,355,p_17,1
944,355,p_15,1
945,355,p_38,3
946,356,p_27,1
947,357,p_7,1
948,357,p_37,2
949,357,p_18,1
950,358,p_36,1
951,358,p_40,2
952,358,p_29,3
953,359,p_11,3
954,359,p_5,3
955,359,p_11,1
956,359,p_36,3
957,360,p_24,2
958,361,p_38,3
959,361,p_28,1
960,361,p_1,3
961,362,p_39,3
962,362,p_10,1
963,362,p_34,2
964,362,p_18,1
965,363,p_12,2
966,363,p_16,1
967,364,p_32,2
968,364,p_2,2
969,364,p_34,1
970,364,p_30,2
971,365,p_31,1
972,366,p_4,3
973,366,p_11,3
974,367,p_14,3
975,367,p_38,3
976,367,p_15,3
977,368,p_24,1
978,368,p_30,3
979,368,p_34,1
980,368,p_27,1
981,369,p_6,1
982,369,p_10,3
983,370,p_24,3
984,370,p_26,2
985,370,p_11,3
986,371,p_15,2
987,371,p_13,3
988,372,p_15,2
989,372,p_39,3
990,372,p_34,2
991,373,p_25,1
992,374,p_40,1
993,374,p_27,2
994,374,p_31,3
995,374,p_6,1
996,375,p_15,1
997,375,p_31,1
998,376,p_16,1
999,376,p_24,3
1000,376,p_24,2
1001,377,p_16,1
1002,377,p_11,3
1003,377,p_26,3
1004,377,p_13,2
1005,378,p_5,2
1006,378,p_34,2
1007,378,p_3,1
1008,378,p_10,3
1009,379,p_15,2
1010,380,p_4,3
1011,380,p_32,2
1012,380,p_6,2
1013,381,p_37,2
1014,381,p_29,3
1015,381,p_5,1
1016,381,p_5,3
1017,382,p_27,3
1018,383,p_10,3
1019,383,p_28,3
1020,383,p_10,3
1021,383,p_32,2
1022,384,p_37,3
1023,385,p_3,1
1024,385,p_12,2
1025,385,p_33,1
1026,385,p_35,2
1027,386,p_9,2
1028,386,p_3,2
1029,386,p_12,2
1030,387,p_5,3
1031,387,p_37,2
1032,388,p_6,3
1033,388,p_16,1
1034,388,p_1,1
1035,389,p_29,3
1036,390,p_40,1
1037,390,p_35,1
1038,390,p_10,1
1039,390,p_36,2
1040,391,p_16,1
1041,391,p_1,2
1042,391,p_34,1
1043,391,p_13,3
1044,392,p_30,3
1045,392,p_23,2
1046,393,p_4,2
1047,393,p_15,1
1048,394,p_34,2
1049,394,p_3,1
1050,394,p_30,2
1051,395,p_17,1
1052,395,p_12,2
1053,396,p_6,3
1054,396,p_33,3
1055,396,p_12,1
1056,397,p_33,3
1057,397,p_37,1
1058,397,p_29,3
1059,397,p_8,1
1060,398,p_38,1
1061,399,p_33,1
1062,399,p_11,1
1063,399,p_10,3
1064,399,p_13,1
1065,400,p_25,1
1066,400,p_19,1
1067,400,p_7,3
1068,400,p_11,2
1069,401,p_11,2
1070,402,p_9,2
1071,402,p_14,1
1072,403,p_8,2
1073,403,p_34,1
1074,404,p_14,1
1075,405,p_26,2
1076,405,p_26,2
1077,405,p_4,1
1078,406,p_4,1
1079,406,p_40,3
1080,406,p_6,3
1081,406,p_24,1
1082,407,p_14,3
1083,408,p_18,3
1084,409,p_40,2
1085,409,p_2,2
1086,410,p_26,3
1087,410,p_30,3
1088,411,p_28,2
1089,411,p_7,3
1090,412,p_14,1
1091,412,p_27,1
1092,412,p_25,1
1093,412,p_32,1
1094,413,p_31,3
1095,414,p_24,2
1096,414,p_40,2
1097,414,p_6,2
1098,414,p_13,1
1099,415,p_14,2
1100,415,p_4,3
1101,416,p_34,1
1102,417,p_23,3
1103,417,p_40,1
1104,417,p_36,3
1105,418,p_1,1
1106,418,p_34,3
1107,418,p_3,3
1108,419,p_9,3
1109,419,p_28,2
1110,420,p_2,3
1111,420,p_10,1
1112,420,p_37,1
1113,421,p_35,2
1114,421,p_34,1
1115,421,p_33,1
1116,421,p_32,2
1117,422,p_8,3
1118,423,p_34,2
1119,424,p_8,1
1120,424,p_22,2
1121,424,p_23,3
1122,425,p_19,2
1123,425,p_12,3
1124,425,p_30,3
1125,425,p_30,1
1126,426,p_25,1
1127,426,p_4,1
1128,426,p_12,3
1129,426,p_14,1
1130,427,p_25,2
1131,428,p_8,1
1132,428,p_13,1
1133,429,p_38,3
1134,429,p_20,2
1135,429,p_37,3
1136,429,p_3,3
1137,430,p_36,2
1138,430,p_16,3
1139,430,p_40,2
1140,430,p_19,1
1141,431,p_15,2
1142,431,p_29,1
1143,432,p_36,1
1144,432,p_9,3
1145,432,p_40,1
1146,433,p_13,3
1147,433,p_37,2
1148,434,p_12,3
1149,434,p_39,3
1150,434,p_4,3
1151,434,p_21,3
1152,435,p_37,2
1153,436,p_20,3
1154,436,p_40,1
1155,436,p_21,1
1156,436,p_2,1
1157,437,p_2,2
1158,438,p_37,2
1159,439,p_3,2
1160,440,p_26,1
1161,440,p_33,1
1162,441,p_40,3
1163,441,p_33,1
1164,442,p_10,2
1165,442,p_37,2
1166,443,p_3,1
1167,443,p_29,2
1168,443,p_34,1
1169,444,p_24,3
1170,444,p_11,1
1171,444,p_3,1
1172,445,p_33,2
1173,445,p_22,2
1174,445,p_25,3
1175,446,p_26,2
1176,447,p_8,2
1177,448,p_6,3
1178,448,p_33,2
1179,448,p_16,1
1180,448,p_26,2
1181,449,p_40,2
1182,449,p_21,1
1183,450,p_4,1
1184,450,p_12,3
1185,450,p_29,3
1186,451,p_10,1
1187,452,p_30,1
1188,453,p_30,1
1189,454,p_2,2
1190,455,p_1,2
1191,455,p_6,1
1192,455,p_6,1
1193,456,p_31,3
1194,457,p_35,1
1195,457,p_6,2
1196,457,p_8,1
1197,457,p_37,2
1198,458,p_26,2
1199,458,p_39,1
1200,458,p_39,3
1201,459,p_36,1
1202,459,p_20,3
1203,459,p_5,3
1204,460,p_19,1
1205,461,p_3,3
1206,461,p_29,1
1207,462,p_32,1
1208,462,p_2,2
1209,462,p_36,2
1210,462,p_13,2
1211,463,p_29,1
1212,463,p_26,3
1213,463,p_1,2
1214,464,p_19,2
1215,465,p_15,2
1216,465,p_21,3
1217,466,p_28,3
1218,466,p_27,3
1219,466,p_9,1
1220,467,p_12,2
1221,467,p_17,3
1222,467,p_38,2
1223,467,p_8,1
1224,468,p_40,1
1225,468,p_29,1
1226,469,p_15,1
1227,469,p_23,1
1228,469,p_24,3
1229,469,p_4,2
1230,470,p_31,2
1231,471,p_21,3
1232,472,p_3,3
1233,472,p_3,3
1234,472,p_39,2
1235,472,p_4,1
1236,473,p_30,3
1237,473,p_39,1
1238,474,p_31,2
1239,474,p_28,1
1240,474,p_31,1
1241,474,p_26,3
1242,475,p_37,1
1243,475,p_33,1
1244,475,p_24,1
1245,476,p_7,3
1246,476,p_20,2
1247,476,p_20,2
1248,476,p_31,3
1249,477,p_23,3
1250,478,p_19,3
1251,479,p_12,3
1252,479,p_18,2
1253,480,p_5,3
1254,481,p_5,2
1255,482,p_5,1
1256,482,p_39,2
1257,483,p_12,2
1258,483,p_11,2
1259,483,p_24,3
1260,484,p_29,2
1261,484,p_7,2
1262,484,p_5,2
1263,485,p_31,1
1264,485,p_38,1
1265,486,p_26,3
1266,486,p_40,1
1267,487,p_22,1
1268,487,p_4,1
1269,488,p_38,2
1270,488,p_14,2
1271,488,p_23,2
1272,488,p_18,1
1273,489,p_32,1
1274,489,p_26,2
1275,489,p_16,2
1276,490,p_9,2
1277,490,p_5,1
1278,490,p_24,1
1279,490,p_33,1
1280,491,p_6,3
1281,491,p_26,3
1282,491,p_34,3
1283,492,p_36,1
1284,493,p_24,1
1285,493,p_32,1
1286,493,p_23,3
1287,494,p_2,2
1288,494,p_22,2
1289,495,p_40,3
1290,496,p_25,2
1291,496,p_22,1
1292,496,p_37,1
1293,497,p_31,2
1294,497,p_24,3
1295,497,p_38,3
1296,497,p_10,3
1297,498,p_18,1
1298,498,p_5,2
1299,499,p_24,1
1300,500,p_7,1
